iter	RMSE
0	41.37255015
1	41.07727618
2	40.79207039
3	40.49967578
4	40.20969499
5	39.92826341
6	39.6429525
7	39.36802461
8	39.0923107
9	38.81702394
10	38.55039174
11	38.29318583
12	38.03426004
13	37.77316735
14	37.51537934
15	37.25873748
16	37.01470487
17	36.76684446
18	36.53199583
19	36.28908071
20	36.05539361
21	35.82073565
22	35.5849052
23	35.35596859
24	35.12884159
25	34.9055787
26	34.68250163
27	34.46730702
28	34.2522294
29	34.03895476
30	33.83415474
31	33.6265328
32	33.41832456
33	33.21214362
34	33.01236389
35	32.81807731
36	32.62411594
37	32.43340342
38	32.24280698
39	32.05994425
40	31.87497732
41	31.69442682
42	31.51079133
43	31.33044769
44	31.15837406
45	30.98874109
46	30.81489254
47	30.64802708
48	30.48469913
49	30.3211778
50	30.16216669
51	30.00300472
52	29.84388026
53	29.68603095
54	29.53307366
55	29.38166401
56	29.23441922
57	29.08761234
58	28.9391425
59	28.79475563
60	28.6545697
61	28.51657671
62	28.38077152
63	28.24882494
64	28.11687453
65	27.98322693
66	27.8572368
67	27.72739908
68	27.60116788
69	27.47383023
70	27.34759513
71	27.22444843
72	27.10220627
73	26.98278214
74	26.86399691
75	26.74753646
76	26.63498618
77	26.52369074
78	26.41631512
79	26.3062971
80	26.19971356
81	26.09726948
82	25.9954487
83	25.89218315
84	25.79204216
85	25.68925377
86	25.59004198
87	25.49392436
88	25.3969575
89	25.30609511
90	25.21002531
91	25.11496282
92	25.02656032
93	24.93455974
94	24.84578201
95	24.76059565
96	24.67793329
97	24.59443359
98	24.50981739
99	24.42625514
100	24.34515909
101	24.26214539
102	24.18642203
103	24.10658478
104	24.02984907
105	23.95510608
106	23.88277092
107	23.80934563
108	23.73909516
109	23.6683315
110	23.59813195
111	23.52980078
112	23.46255094
113	23.39568774
114	23.33066396
115	23.26628971
116	23.20135952
117	23.13840755
118	23.07410798
119	23.01238583
120	22.94921974
121	22.89026621
122	22.83350537
123	22.7756141
124	22.72125859
125	22.66532031
126	22.60785767
127	22.55229736
128	22.49937723
129	22.44615137
130	22.39613332
131	22.3461589
132	22.2937962
133	22.24320074
134	22.19354124
135	22.14382295
136	22.09543614
137	22.04751255
138	21.99935156
139	21.95318484
140	21.90839676
141	21.86305569
142	21.82023133
143	21.77894213
144	21.73583587
145	21.69232795
146	21.65224921
147	21.61042491
148	21.57057912
149	21.53068287
150	21.49106775
151	21.45329549
152	21.41762606
153	21.37916264
154	21.34374083
155	21.30956178
156	21.27582295
157	21.24033614
158	21.20669859
159	21.17301334
160	21.13799031
161	21.10293076
162	21.07024104
163	21.03691684
164	21.00495374
165	20.97308576
166	20.94095508
167	20.91140762
168	20.88159384
169	20.85187313
170	20.82140953
171	20.79457529
172	20.76541536
173	20.7369587
174	20.71056209
175	20.68475174
176	20.65879461
177	20.63283904
178	20.60773816
179	20.58048752
180	20.55404842
181	20.53243729
182	20.5076749
183	20.48301814
184	20.45948846
185	20.43460424
186	20.40952135
187	20.38635997
188	20.36311381
189	20.34091009
190	20.32111406
191	20.29944834
192	20.27923603
193	20.25900776
194	20.23780218
195	20.21864741
196	20.1980526
197	20.17893692
198	20.15882959
199	20.13951798
200	20.12051038
201	20.10280364
202	20.08470074
203	20.06611789
204	20.04774837
205	20.02958689
