iter	Passed	Remaining
0	101	20732
1	200	20421
2	301	20418
3	405	20469
4	517	20786
5	627	20920
6	741	21074
7	854	21139
8	967	21168
9	1083	21240
10	1200	21284
11	1314	21249
12	1433	21277
13	1550	21264
14	1670	21265
15	1781	21153
16	1900	21125
17	2013	21031
18	2160	21260
19	2306	21450
20	2446	21555
21	2577	21554
22	2698	21474
23	2821	21397
24	2935	21250
25	3047	21100
26	3169	21011
27	3285	20888
28	3398	20739
29	3511	20599
30	3629	20488
31	3743	20355
32	3857	20224
33	3970	20086
34	4085	19961
35	4200	19836
36	4313	19702
37	4428	19577
38	4538	19432
39	4651	19302
40	4767	19187
41	4902	19144
42	5023	19044
43	5139	18923
44	5259	18817
45	5377	18704
46	5492	18581
47	5604	18448
48	5720	18330
49	5838	18215
50	5949	18083
51	6065	17962
52	6179	17839
53	6298	17728
54	6410	17601
55	6521	17467
56	6636	17348
57	6756	17241
58	6870	17118
59	6984	16996
60	7100	16877
61	7215	16758
62	7328	16635
63	7453	16536
64	7573	16428
65	7696	16325
66	7809	16202
67	7922	16077
68	8035	15954
69	8153	15840
70	8267	15719
71	8383	15602
72	8493	15474
73	8608	15355
74	8724	15237
75	8843	15127
76	8955	15003
77	9067	14880
78	9182	14761
79	9298	14644
80	9415	14529
81	9530	14411
82	9647	14297
83	9757	14171
84	9870	14050
85	9988	13937
86	10097	13811
87	10209	13689
88	10320	13567
89	10429	13442
90	10538	13317
91	10651	13198
92	10764	13079
93	10875	12957
94	10984	12835
95	11092	12710
96	11208	12594
97	11317	12472
98	11434	12357
99	11539	12231
100	11645	12107
101	11764	11995
102	11871	11871
103	11979	11748
104	12086	11625
105	12198	11508
106	12309	11389
107	12418	11268
108	12529	11150
109	12640	11031
110	12754	10915
111	12865	10797
112	12971	10675
113	13079	10555
114	13188	10436
115	13306	10323
116	13415	10205
117	13533	10092
118	13643	9974
119	13752	9855
120	13871	9744
121	13977	9623
122	14089	9507
123	14200	9390
124	14304	9269
125	14417	9154
126	14527	9036
127	14634	8918
128	14746	8802
129	14862	8688
130	14971	8571
131	15079	8453
132	15189	8337
133	15304	8223
134	15413	8106
135	15525	7991
136	15637	7875
137	15746	7758
138	15861	7645
139	15972	7530
140	16083	7414
141	16190	7297
142	16305	7183
143	16417	7068
144	16525	6952
145	16635	6836
146	16748	6722
147	16859	6607
148	16972	6492
149	17088	6379
150	17202	6265
151	17315	6151
152	17438	6040
153	17549	5925
154	17661	5811
155	17777	5697
156	17894	5584
157	18008	5470
158	18121	5356
159	18231	5241
160	18347	5128
161	18467	5015
162	18582	4902
163	18697	4788
164	18811	4674
165	18929	4561
166	19044	4447
167	19157	4333
168	19268	4218
169	19381	4104
170	19499	3991
171	19613	3876
172	19725	3762
173	19842	3649
174	19953	3534
175	20068	3420
176	20182	3306
177	20296	3192
178	20410	3078
179	20526	2964
180	20643	2851
181	20763	2737
182	20878	2624
183	20989	2509
184	21103	2395
185	21220	2281
186	21334	2167
187	21445	2053
188	21559	1939
189	21676	1825
190	21792	1711
191	21902	1597
192	22018	1483
193	22126	1368
194	22249	1255
195	22354	1140
196	22460	1026
197	22571	911
198	22685	797
199	22799	683
200	22907	569
201	23021	455
202	23133	341
203	23244	227
204	23361	113
205	23480	0
