iter	Passed	Remaining
0	3	1834
1	5	1579
2	7	1465
3	10	1568
4	12	1509
5	14	1460
6	16	1432
7	18	1405
8	21	1397
9	23	1385
10	25	1378
11	28	1373
12	30	1359
13	32	1344
14	34	1364
15	37	1350
16	39	1340
17	41	1328
18	44	1349
19	46	1353
20	48	1343
21	50	1333
22	52	1324
23	54	1311
24	56	1300
25	59	1310
26	62	1317
27	63	1307
28	65	1297
29	67	1287
30	69	1278
31	71	1270
32	73	1265
33	77	1284
34	79	1277
35	81	1272
36	83	1264
37	85	1257
38	87	1252
39	89	1246
40	91	1246
41	93	1243
42	95	1236
43	97	1230
44	99	1227
45	101	1223
46	103	1219
47	105	1214
48	107	1212
49	109	1207
50	111	1201
51	113	1199
52	115	1193
53	117	1190
54	120	1191
55	122	1185
56	124	1185
57	126	1182
58	128	1178
59	130	1177
60	133	1182
61	135	1178
62	137	1173
63	140	1173
64	142	1174
65	144	1169
66	146	1164
67	148	1160
68	150	1157
69	152	1152
70	154	1148
71	156	1146
72	158	1144
73	160	1140
74	162	1135
75	164	1131
76	166	1131
77	168	1127
78	170	1123
79	172	1122
80	174	1120
81	176	1116
82	179	1116
83	181	1113
84	183	1109
85	184	1105
86	186	1101
87	188	1099
88	191	1102
89	194	1100
90	196	1098
91	199	1101
92	201	1098
93	203	1095
94	206	1096
95	208	1095
96	210	1091
97	212	1087
98	214	1084
99	216	1080
100	218	1079
101	220	1075
102	223	1077
103	225	1074
104	227	1071
105	229	1067
106	231	1067
107	233	1064
108	235	1060
109	237	1058
110	240	1057
111	242	1054
112	244	1053
113	246	1050
114	248	1046
115	250	1043
116	251	1039
117	254	1038
118	257	1039
119	259	1036
120	260	1032
121	262	1029
122	264	1026
123	266	1023
124	268	1019
125	271	1020
126	273	1018
127	275	1015
128	277	1012
129	279	1009
130	280	1005
131	283	1003
132	284	1000
133	287	998
134	289	995
135	291	993
136	292	990
137	294	987
138	297	986
139	299	984
140	301	981
141	304	981
142	306	979
143	308	977
144	310	975
145	312	972
146	314	970
147	316	967
148	318	964
149	320	962
150	323	961
151	325	959
152	327	956
153	329	953
154	331	951
155	333	948
156	335	945
157	338	946
158	341	946
159	343	945
160	345	943
161	347	940
162	349	937
163	351	935
164	354	934
165	356	931
166	358	929
167	360	926
168	362	925
169	364	922
170	366	919
171	368	917
172	370	915
173	372	912
174	374	910
175	376	907
176	378	905
177	380	902
178	382	899
179	384	897
180	387	896
181	389	893
182	390	890
183	392	888
184	394	885
185	396	882
186	398	880
187	400	878
188	403	877
189	405	874
190	407	872
191	409	869
192	411	867
193	413	864
194	414	861
195	416	859
196	419	858
197	421	856
198	423	853
199	425	850
200	427	849
201	429	846
202	431	844
203	434	842
204	436	841
205	438	838
206	440	836
207	442	833
208	444	831
209	446	828
210	448	826
211	450	824
212	453	823
213	454	820
214	456	818
215	458	815
216	460	812
217	462	810
218	464	807
219	466	806
220	469	804
221	471	802
222	473	799
223	475	797
224	477	795
225	478	792
226	480	789
227	483	788
228	485	786
229	487	783
230	488	781
231	490	778
232	493	776
233	495	774
234	497	771
235	499	770
236	501	767
237	503	765
238	505	762
239	507	760
240	509	758
241	511	756
242	513	753
243	515	752
244	517	750
245	519	747
246	521	745
247	523	742
248	525	740
249	527	737
250	529	735
251	531	734
252	534	733
253	537	732
254	540	730
255	542	728
256	544	726
257	546	724
258	549	723
259	551	721
260	553	718
261	555	716
262	557	714
263	559	712
264	561	710
265	564	708
266	567	707
267	570	706
268	572	704
269	574	702
270	576	699
271	578	697
272	580	695
273	583	694
274	585	691
275	587	689
276	589	686
277	591	684
278	592	682
279	594	679
280	597	678
281	599	675
282	601	673
283	603	671
284	606	669
285	607	667
286	609	665
287	611	662
288	614	661
289	616	658
290	618	656
291	620	654
292	622	652
293	624	649
294	626	647
295	627	644
296	630	643
297	632	640
298	634	638
299	636	636
300	638	633
301	640	631
302	641	629
303	643	626
304	646	625
305	648	623
306	651	621
307	652	619
308	654	616
309	656	614
310	658	612
311	660	609
312	664	609
313	666	606
314	668	604
315	670	602
316	673	601
317	676	600
318	679	598
319	681	596
320	683	594
321	685	592
322	688	590
323	690	587
324	691	585
325	694	583
326	698	582
327	701	581
328	704	580
329	706	577
330	708	575
331	710	573
332	713	571
333	715	569
334	717	567
